Cliff Swallow,507,695,606,455,769,746,624,430,682,459,448,191,288
Barn Swallow,55,42,20,36,74,19,47,112,27,60,70,29,26
Mountain Chickadee,199,117,57,168,71,127,167,181,115,104,34,48,23
Mexican Chickadee,0,2,0,9,0,0,0,0,2,0,0,0,0
Bridled Titmouse,85,55,43,24,33,84,100,35,65,40,35,18,15
Juniper Titmouse,19,25,24,17,19,50,45,27,35,24,63,26,16
Verdin,411,494,371,325,313,405,346,324,404,624,364,294,193
Bushtit,175,53,78,88,73,161,78,70,59,93,41,44,49
Red-breasted Nuthatch,48,18,10,25,36,27,61,37,28,21,3,16,7
White-breasted Nuthatch,118,67,89,95,62,154,153,110,135,159,97,42,72
Pygmy Nuthatch,161,132,79,147,142,170,285,192,156,177,96,52,48
Brown Creeper,21,8,9,20,15,19,28,16,7,6,1,1,4
Cactus Wren,565,522,364,348,310,554,644,440,393,729,495,309,174
Rock Wren,54,58,21,106,60,153,93,52,65,120,57,49,34
Canyon Wren,29,17,14,13,8,31,20,26,18,28,13,15,7
Sinaloa Wren,0,0,0,0,0,0,0,0,0,1,0,0,0
Bewick's Wren,412,374,275,331,337,416,426,288,266,368,182,126,77
House Wren,81,65,31,59,64,50,113,74,92,152,63,73,45
Marsh Wren,3,10,3,6,4,5,2,1,0,4,0,1,2
Blue-gray Gnatcatcher,27,24,23,25,14,17,22,19,28,20,28,16,8
Black-tailed Gnatcatcher,177,250,158,216,155,238,133,87,153,184,130,94,69
Golden-crowned Kinglet,5,4,2,14,1,0,5,0,2,13,0,0,0
Ruby-crowned Kinglet,34,36,8,43,72,12,64,67,88,82,45,59,91
Eastern Bluebird,4,6,3,0,3,11,9,2,2,7,3,5,3
Western Bluebird,93,124,40,79,103,146,184,176,122,162,88,79,84
Mountain Bluebird,15,24,20,29,21,11,27,38,23,28,14,9,19
Townsend's Solitaire,3,1,5,6,1,3,1,3,7,5,2,1,1
Hermit Thrush,272,187,91,177,170,213,296,250,216,268,85,69,93
American Robin,217,272,269,195,189,277,420,298,264,384,148,116,163
Northern Mockingbird,524,741,266,574,578,1056,650,625,448,785,536,418,196
Sage Thrasher,5,0,0,0,0,2,6,7,4,3,1,17,1
Bendire's Thrasher,15,24,8,10,2,8,13,14,9,20,11,19,8
Curve-billed Thrasher,121,179,91,126,123,137,145,157,128,185,159,116,64
Crissal Thrasher,26,22,26,12,15,23,39,25,26,32,23,33,9
Le Conte's Thrasher,3,4,4,4,2,3,1,5,3,3,4,2,5
European Starling,119,151,149,116,166,157,154,138,161,114,115,128,87
Phainopepla,271,194,101,151,135,113,199,163,84,172,189,162,83
Olive Warbler,4,11,4,9,19,8,10,9,3,15,4,4,3
Orange-crowned Warbler,0,1,2,14,0,0,1,1,0,0,0,2,1
Lucy's Warbler,390,396,301,331,349,365,439,273,457,529,462,398,250
Virginia's Warbler,56,68,65,91,54,60,66,42,82,67,48,36,32
MacGillivray's Warbler,0,0,0,0,0,2,0,0,0,2,1,0,0
Common Yellowthroat,34,33,36,40,26,37,27,40,41,35,32,35,29
Yellow Warbler,18,30,33,26,27,33,35,19,44,39,49,43,12
(Audubon's Warbler) Yellow-rumped Warbler,136,219,91,257,229,175,322,269,284,301,126,173,139
Grace's Warbler,92,128,77,123,76,132,172,116,140,145,140,76,37
Black-throated Gray Warbler,22,45,24,36,30,41,50,30,59,99,44,31,17
Red-faced Warbler,31,44,33,43,46,49,57,29,57,61,18,19,25
Painted Redstart,17,28,20,23,12,14,29,14,19,36,33,21,11
Yellow-breasted Chat,109,98,124,117,105,98,100,83,111,128,116,88,66
Green-tailed Towhee,2,0,2,0,0,0,4,6,4,3,1,1,9
Spotted Towhee,348,210,153,193,138,225,274,145,194,255,220,187,143
Rufous-crowned Sparrow,82,75,17,41,26,92,78,64,32,84,86,34,23
Canyon Towhee,209,176,108,114,146,117,135,115,130,99,105,59,42
Abert's Towhee,59,67,45,53,60,92,76,67,93,61,63,45,23
Rufous-winged Sparrow,0,12,0,4,0,3,25,22,21,59,43,17,32
Botteri's Sparrow,4,17,0,2,1,5,4,3,3,19,13,0,0
Cassin's Sparrow,0,3,0,0,0,1,1,1,1,30,16,1,0
Chipping Sparrow,93,117,52,81,121,145,225,161,114,216,128,139,92
Brewer's Sparrow,0,2,0,3,13,30,28,1,2,7,13,13,0
Black-chinned Sparrow,36,26,14,16,22,19,33,11,25,42,34,22,9
Vesper Sparrow,13,52,0,32,21,16,44,46,26,47,22,37,21
Lark Sparrow,157,165,97,129,116,160,152,168,98,184,129,131,66
Black-throated Sparrow,709,748,378,703,675,974,801,609,645,872,884,741,452
Sage Sparrow,5,9,2,11,17,23,24,13,23,27,14,17,10
Savannah Sparrow,0,0,0,0,1,0,0,0,0,0,0,0,0
Grasshopper Sparrow,19,11,2,7,5,8,10,25,4,20,8,6,8
Song Sparrow,17,21,15,15,20,14,18,24,26,24,11,16,7
(Gray-headed Junco) Dark-eyed Junco,177,159,75,110,206,192,261,261,121,165,124,87,87
Yellow-eyed Junco,169,133,119,136,133,158,125,136,110,97,0,0,0
Hepatic Tanager,39,52,26,35,29,37,36,33,35,39,17,22,14
Summer Tanager,30,35,28,19,12,22,30,27,23,31,20,28,21
Western Tanager,147,244,116,247,228,250,297,261,242,245,142,71,94
Northern Cardinal,121,150,99,92,58,66,109,52,64,95,91,86,40
Pyrrhuloxia,28,23,10,14,15,11,21,16,15,41,24,21,10
Black-headed Grosbeak,110,156,133,139,120,140,154,126,120,172,90,84,49
Blue Grosbeak,98,98,59,89,74,116,91,97,120,114,112,84,58
Lazuli Bunting,5,0,1,0,2,0,0,0,0,0,0,1,0
Indigo Bunting,1,0,0,0,1,0,0,0,0,0,1,0,0
Varied Bunting,4,5,5,3,1,4,4,6,9,7,9,4,5
Red-winged Blackbird,1572,2089,1778,1818,1965,2671,2097,2308,2441,1860,1913,1916,1531
Eastern Meadowlark,123,99,109,125,82,121,111,112,84,202,88,72,26
Western Meadowlark,191,126,36,124,102,301,226,233,207,225,201,117,80
Yellow-headed Blackbird,39,26,35,54,37,24,71,78,42,18,38,32,27
Brewer's Blackbird,75,46,32,39,38,39,65,56,41,42,11,33,21
Great-tailed Grackle,411,478,460,423,532,476,583,535,568,469,519,501,354
Bronzed Cowbird,18,18,12,6,3,5,18,3,12,9,3,2,4
Brown-headed Cowbird,342,397,285,289,256,271,345,222,259,404,282,266,125
Hooded Oriole,46,48,53,31,26,42,46,33,23,36,39,37,13
Bullock's Oriole,64,54,45,29,36,33,29,28,29,51,33,23,15
Scott's Oriole,156,115,127,80,82,96,142,116,84,96,53,55,29
Cassin's Finch,4,3,1,2,2,2,3,8,5,3,2,2,3
House Finch,1107,906,798,968,762,884,1076,808,795,871,874,693,428
Red Crossbill,11,1,23,0,10,13,181,14,53,11,5,1,5
Pine Siskin,22,44,18,19,33,55,98,37,106,40,23,38,36
Lesser Goldfinch,43,67,101,93,95,73,143,88,103,169,160,142,72
Evening Grosbeak,5,0,0,1,0,0,2,2,1,1,2,9,4
House Sparrow,799,1062,801,925,701,788,1009,809,892,722,637,692,395
Total Species,198,212,187,193,196,200,217,203,207,204,198,197,194
Total individuals,25058,27056,19305,22800,22087,27878,29557,24578,24739,28136,22531,18566,13567
